filename,year,title,num_ref,num_ref_3years,arxiv,neurips,iclr,icml,aaai,iccv,cvpr,emnlp,acl,naacl,eccv,icra,icassp,ijcai,aistats,sigkdd,neuralcom,ieee_tran,acm_tran,mit_press,nature,jmlr,decision_ori,decision_final,rating1,rating2,rating3,mean,class_label,filetype2,atr0,atr1,atr2,atr3,atr4,atr5,atr6,atr7,atr8,atr9,atr10,atr11,atr12,atr13,atr14,atr15,atr16,atr17,atr18,atr19,atr20,atr21,atr22,atr23,atr24,atr25,atr26,atr27,atr28,atr29,atr30,atr31,atr32,atr33,atr34,atr35,atr36,atr37,atr38,atr39,citation_count,citedIn2018,citedIn2019,citedIn2020,citedIn2021,citedIn2022,citedIn2023,paperId
ICLR_2017_83_content.json,2017,Machine Comprehension Using Match-LSTM and Answer Pointer,24,21,3,3,3,1,0,2,1,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,Accept (Poster),Accepted,7,6,6,6.33,good,ICLR_2017_83_paper.json,1,0,1,1,4,0,0,7,0,4,0,5,0,1,1,0,1,1,2,29,0,2,15,12,4,37,1,11,0,13,2,4,0,2,0,1,2,5,38,149,0,115,113,84,75,59,10,ff1861b71eaedba46cb679bbe2c585dbe18f9b19
ICLR_2017_66_content.json,2017,Optimal Binary Autoencoding with Pairwise Correlations,40,10,6,1,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,Accept (Poster),Accepted,7,7,6,6.67,good,ICLR_2017_66_paper.json,0,1,4,2,1,1,2,5,0,1,0,0,0,0,0,0,2,1,4,24,0,4,19,12,0,55,1,7,2,11,1,0,1,0,1,3,2,3,68,190,0,0,0,0,0,0,0,6a65cd0e80a7b96fd861186f73fc04fc975213e0
ICLR_2017_4_content.json,2017,Learning End-to-End Goal-Oriented Dialog,34,19,11,2,1,0,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Oral),Accepted,7,8,8,7.67,good,ICLR_2017_4_paper.json,1,0,8,2,2,1,1,3,0,1,1,0,1,2,0,0,2,1,2,28,0,3,27,7,0,33,1,14,4,8,2,0,3,0,6,0,1,1,75,185,1,162,162,140,84,71,17,f81be44000814e7bcb12ae04b4e2d9c01b6515b3
ICLR_2017_59_content.json,2017,Generalizing Skills with Semi-Supervised Reinforcement Learning,36,18,3,1,5,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,Accept (Poster),Accepted,6,7,8,7,good,ICLR_2017_59_paper.json,3,0,6,5,1,1,0,2,0,0,0,1,0,0,0,0,1,2,2,24,2,2,30,17,0,36,1,15,0,11,0,0,1,1,0,2,4,5,27,154,1,1,4,43,84,115,56,48d5588afd24c7a12ae54d6ef13008ee3b7a0e8c
ICLR_2017_130_content.json,2017,Combining policy gradient and Q-learning,45,13,8,0,3,5,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,3,Accept (Poster),Accepted,9,7,7,7.67,good,ICLR_2017_130_paper.json,2,1,5,4,1,4,0,5,2,0,0,2,0,0,0,0,1,0,7,34,9,1,14,14,1,39,2,10,1,4,1,1,0,0,1,1,6,1,71,177,1,21,30,28,26,7,2,5592edb72f1b0dea936ff8baa5ce81fd136b6f59
ICLR_2017_152_content.json,2017,Energy-based Generative Adversarial Networks,22,14,11,0,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Accept (Poster),Accepted,8,7,7,7.33,good,ICLR_2017_152_paper.json,2,0,3,2,1,3,2,8,0,0,1,2,1,0,0,0,6,1,3,35,7,2,15,14,0,34,1,9,1,6,1,0,3,0,1,0,1,2,58,155,1,43,48,47,27,16,2,5717143b3a98ebcbf72e18fb49464d56b0f2ffca
ICLR_2017_169_content.json,2017,Support Regularized Sparse Coding and Its Fast Encoder,30,5,0,0,3,4,1,1,2,0,0,0,0,0,0,1,0,0,1,4,0,0,0,1,Accept (Poster),Accepted,6,7,7,6.67,good,ICLR_2017_169_paper.json,0,0,6,3,3,3,2,4,0,0,0,1,0,0,1,0,1,0,6,30,4,2,20,35,3,42,2,8,0,13,0,0,6,1,8,0,0,0,105,249,1,1,0,0,0,0,0,d580cf2cf9493b67d08fa8b2300f3bbc9ed864b7
ICLR_2017_188_content.json,2017,An Actor-Critic Algorithm for Sequence Prediction,46,18,14,2,3,3,0,0,3,0,3,1,0,0,0,0,0,0,2,3,0,1,1,0,Accept (Poster),Accepted,4,8,8,6.67,good,ICLR_2017_188_paper.json,1,0,3,2,1,2,2,14,1,1,0,4,3,0,1,0,3,0,5,43,4,3,19,14,1,43,6,25,2,18,2,2,2,1,4,1,2,4,36,189,2,135,106,95,70,45,23,0d24a0695c9fc669e643bad51d4e14f056329dec
ICLR_2017_94_content.json,2017,Deep Probabilistic Programming,69,26,10,3,12,10,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,1,2,Accept (Poster),Accepted,5,8,7,6.67,good,ICLR_2017_94_paper.json,1,1,5,2,1,8,1,4,0,1,0,0,0,0,0,0,0,0,5,29,4,1,20,6,0,38,0,13,4,4,1,2,0,0,0,0,2,2,47,144,2,49,52,23,17,13,5,8e9532262bb862c62d2d011a93da014da2d97ee9
ICLR_2017_84_content.json,2017,DeepDSL: A Compilation-based Domain-Specific Language for Deep Learning,10,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,6,7,8,7,good,ICLR_2017_84_paper.json,0,0,1,1,1,1,0,0,0,0,0,4,0,1,0,0,0,0,1,10,1,1,30,26,0,15,1,5,0,0,2,2,0,1,2,1,1,4,44,136,3,2,1,0,0,1,0,8902ce81d33571d62445e6152aac1d03a426049a
ICLR_2017_172_content.json,2017,Discrete Variational Autoencoders,59,21,5,6,10,14,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,Accept (Poster),Accepted,8,9,8,8.33,good,ICLR_2017_172_paper.json,0,0,9,6,2,3,0,12,0,0,0,4,1,1,0,0,1,0,6,45,8,0,45,18,0,86,3,12,4,2,0,1,0,1,1,0,0,5,171,357,4,27,38,31,25,39,25,711683de61ee8d2aa929ec4d5d97d616b8e281d3
ICLR_2017_34_content.json,2017,An Information-Theoretic Framework for Fast and Robust Unsupervised Learning via Neural Population Infomax,42,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,3,5,0,0,2,3,Accept (Poster),Accepted,8,5,7,6.67,good,ICLR_2017_34_paper.json,5,0,8,4,0,4,1,6,0,1,0,3,0,0,2,0,0,0,8,42,4,0,33,6,0,50,2,19,3,18,1,0,0,0,1,2,1,1,98,239,5,1,1,1,0,0,0,bb0fabcb449cead7abcca52ec1db541d8fb7a6fc
ICLR_2017_175_content.json,2017,Learning Invariant Representations Of Planar Curves ,28,3,0,0,0,0,0,1,7,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,Accept (Poster),Accepted,5,6,8,6.33,good,ICLR_2017_175_paper.json,1,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,10,1,0,11,9,0,24,0,8,3,4,0,1,0,0,0,0,2,2,39,104,6,0,2,1,2,1,1,bc828a99cd936bd4aea2071169504a971a3659da
ICLR_2017_191_content.json,2017,HolStep: A Machine Learning Dataset for Higher-order Logic Theorem Proving,43,15,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Accept (Poster),Accepted,6,8,7,7,good,ICLR_2017_191_paper.json,1,0,8,2,3,2,0,2,0,0,1,0,0,0,0,0,0,0,5,24,2,0,26,3,1,14,2,1,1,6,2,1,0,0,1,0,2,1,18,81,6,13,19,15,12,5,1,f1318d15d7d8ab626b92d0c70dbdc5b5d37e223f
ICLR_2017_190_content.json,2017,Tighter bounds lead to improved classifiers,12,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,Accept (Poster),Accepted,6,8,4,6,good,ICLR_2017_190_paper.json,1,0,0,0,0,1,0,1,1,0,0,5,1,0,1,0,0,0,2,13,4,1,25,2,0,29,0,4,2,0,2,0,1,0,1,0,2,1,27,101,6,2,1,2,1,0,0,0020a29cd42db351fbfb3c8bb0fd6fa597d67b76
ICLR_2017_64_content.json,2017,Training Compressed Fully-Connected Networks with a Density-Diversity Penalty,23,6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,Accept (Poster),Accepted,9,6,6,7,good,ICLR_2017_64_paper.json,2,0,1,1,0,2,0,4,1,1,0,4,0,0,1,0,0,0,4,21,1,0,14,4,2,36,0,6,0,11,1,1,1,0,1,0,1,2,32,113,8,2,2,1,2,1,0,9f6422dbb45f1bb183da514517f224b7a6e79f87
ICLR_2017_171_content.json,2017,Towards Deep Interpretability (MUS-ROVER II): Learning Hierarchical Representations of Tonal Music,25,12,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,6,8,6,6.67,good,ICLR_2017_171_paper.json,1,1,4,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,3,15,4,1,28,13,3,47,0,8,1,1,1,5,1,0,1,0,2,3,77,196,9,3,2,0,1,2,0,0ff1dbf5c5851eed853b85c34c52331759613581
ICLR_2017_55_content.json,2017,Neuro-Symbolic Program Synthesis,29,10,4,1,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,5,7,8,6.67,good,ICLR_2017_55_paper.json,2,0,4,1,2,1,0,1,0,3,0,6,0,0,0,0,2,1,2,25,5,0,26,31,5,59,1,16,2,7,0,2,1,3,3,0,2,4,56,223,10,56,40,55,50,36,14,644ca74f80463415613847ab01cff067fb58f0ad
ICLR_2017_31_content.json,2017,Transfer of View-manifold Learning to Similarity Perception of Novel Objects,35,16,3,0,1,1,0,2,7,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,Accept (Poster),Accepted,5,6,7,6,good,ICLR_2017_31_paper.json,0,0,3,1,2,2,0,7,0,0,0,1,0,0,1,0,1,0,2,20,3,3,20,11,2,42,2,12,2,9,2,2,3,3,2,0,5,2,30,155,10,2,5,2,0,0,0,01fce96b99aedfb5d041ef4411ad8e9699b2c4df
ICLR_2017_111_content.json,2017,Trusting SVM for Piecewise Linear CNNs,32,14,3,2,2,7,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,2,Accept (Poster),Accepted,5,4,6,5,good,ICLR_2017_111_paper.json,0,1,4,1,2,2,0,5,1,1,0,8,0,0,1,0,0,0,10,36,1,3,25,18,0,75,2,16,6,10,2,0,2,2,0,0,2,5,92,261,11,4,1,3,1,0,0,773a86cc9443415e367794d8b14de2ab1ded87ca
ICLR_2017_42_content.json,2017,Program Synthesis for Character Level Language Modeling,33,14,0,0,4,3,0,0,1,0,2,1,0,0,1,0,0,0,0,2,0,0,0,0,Accept (Poster),Accepted,5,8,8,7,good,ICLR_2017_42_paper.json,0,0,6,0,1,1,2,3,1,0,0,1,3,0,0,0,0,0,2,20,5,0,19,15,2,34,4,17,4,9,2,0,0,0,3,0,1,2,26,143,11,2,0,4,1,4,0,de7e3537d974c2ca28e3ca130d531e5eb23eb79f
ICLR_2017_43_content.json,2017,Episodic Exploration for Deep Deterministic Policies for StarCraft Micromanagement,50,12,9,0,5,6,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,2,1,Accept (Poster),Accepted,7,7,8,7.33,good,ICLR_2017_43_paper.json,1,1,3,2,2,1,1,4,0,1,0,6,1,1,2,0,1,1,7,35,5,0,37,15,1,54,5,22,2,5,2,0,0,1,0,4,3,6,58,220,12,3,2,4,1,1,0,454d0168492917fdb87f2ed034686c8edd4cbe90
ICLR_2017_119_content.json,2017,Recurrent Hidden Semi-Markov Model,38,13,12,0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,1,Accept (Poster),Accepted,7,7,7,7,good,ICLR_2017_119_paper.json,1,0,0,0,0,4,0,6,2,0,0,1,0,2,0,0,0,1,4,21,1,1,17,9,1,59,2,15,2,10,0,0,3,0,4,0,2,1,56,183,14,8,9,5,7,3,0,e20d94e43a20315f76067a00d67e4f7523ca7311
ICLR_2017_2_content.json,2017,End-to-end Optimized Image Compression,26,7,4,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,Accept (Oral),Accepted,7,8,9,8,good,ICLR_2017_2_paper.json,2,2,9,2,1,3,4,8,0,9,0,1,0,0,1,0,1,2,7,52,5,0,19,6,0,36,0,10,2,6,0,1,1,2,1,1,3,3,44,140,15,75,122,196,206,272,105,232148b97bd0543613ffd98fb4edcff79434ce1a
ICLR_2017_100_content.json,2017,Introspection:Accelerating Neural Network Training By Learning Weight Evolution,9,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,8,7,9,8,good,ICLR_2017_100_paper.json,0,0,3,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,8,18,1,0,28,13,1,21,0,13,0,13,2,0,4,3,9,0,1,4,45,158,15,4,2,3,1,3,0,9bc3eaa4f816d186b9deac9ba980f278f85a1cd8
ICLR_2017_21_content.json,2017,Nonparametric Neural Networks,41,19,3,7,9,7,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,Accept (Poster),Accepted,7,7,5,6.33,good,ICLR_2017_21_paper.json,1,1,2,2,0,2,0,3,0,0,1,8,1,0,0,0,1,0,2,24,2,4,30,14,3,129,3,19,3,4,0,0,0,1,2,1,10,8,159,392,15,6,1,3,0,2,2,46357ea4ad096e0674569efa29d3e34006786d04
ICLR_2017_127_content.json,2017,Online Bayesian Transfer Learning for Sequential Data Modeling,33,7,1,0,2,2,1,0,1,0,0,0,0,0,1,1,2,0,2,2,0,0,0,1,Accept (Poster),Accepted,7,6,6,6.33,good,ICLR_2017_127_paper.json,1,0,1,0,1,2,1,4,0,1,0,4,0,0,0,0,0,1,1,17,6,4,24,20,4,47,4,20,2,6,1,0,1,1,4,1,0,1,89,235,16,2,4,4,3,3,0,20be936439c626c11611ce62771e8b8ba3c797f9
ICLR_2017_39_content.json,2017,Unsupervised Cross-Domain Image Generation,27,15,6,1,3,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,7,6,7,6.67,good,ICLR_2017_39_paper.json,0,1,0,1,2,0,1,8,0,1,0,1,1,1,0,0,1,0,2,20,4,0,24,12,1,25,0,16,5,4,2,1,3,1,2,0,3,6,45,154,16,162,197,164,118,87,18,04bd2907111855b9fde9413bb25b9788a4c03f26
ICLR_2017_25_content.json,2017,FILTER SHAPING FOR CONVOLUTIONAL NEURAL NETWORKS,22,9,5,1,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,Accept (Poster),Accepted,6,7,7,6.67,good,ICLR_2017_25_paper.json,0,0,1,0,2,2,0,0,0,0,0,4,2,0,0,0,2,0,5,18,3,0,14,4,2,35,2,5,2,6,1,2,1,0,5,0,1,3,51,137,18,2,4,7,0,1,2,0ef8ba551c025747333382bb627f305b540543dc
ICLR_2017_174_content.json,2017,Geometry of Polysemy,26,8,7,0,0,2,0,0,0,2,5,1,0,0,0,0,0,0,0,1,0,0,0,1,Accept (Poster),Accepted,7,7,7,7,good,ICLR_2017_174_paper.json,1,0,6,4,2,3,4,9,1,4,0,8,1,0,1,1,1,1,4,51,2,4,32,18,2,57,6,16,0,12,3,0,1,0,3,0,4,1,64,225,18,49,57,59,43,25,7,423fab20c1c39cb6b4d6cf6098f61c092e6d1e3f
